dep_amt ,dep_days_greater100e,wth_amt ,wth_days_greatter100e,stake_amt,stake_days_greater500e,paid_bonus,no_bets,abs_ggr_days_greater200e,no_logins,vip
11,0,0,0,81,0,0,92,0,2,not VIP
628,3,200,1,7130,4,71,18836,0,208,not VIP
127,0,0,0,482,0,0,72,0,23,not VIP
236,0,15,0,2182,1,5,14455,0,28,not VIP
46,0,108,1,445,0,0,1293,0,5,not VIP
216,0,30,0,1880,1,0,164,0,70,not VIP
31,0,0,0,108,0,0,25,0,29,not VIP
732,2,154,1,6687,2,0,132,1,49,not VIP
108,0,0,0,135,0,0,5,0,10,not VIP
201,1,0,0,974,0,0,2398,0,60,not VIP
208,1,246,1,1995,2,0,973,0,11,not VIP
229,0,0,0,891,0,0,1526,0,74,not VIP
55,0,103,0,838,0,0,59,0,54,not VIP
147,1,0,0,2586,3,118,451,0,26,not VIP
46,0,53,0,362,0,63,2073,0,37,not VIP
27,0,0,0,175,0,0,1414,0,65,not VIP
123,0,176,1,4374,1,28,5301,0,25,not VIP
104,0,0,0,786,0,0,473,0,14,not VIP
15,0,0,0,26,0,0,11,0,1,not VIP
386,1,0,0,1844,1,0,45,1,32,not VIP
249,0,123,0,845,0,83,190,0,57,not VIP
107,0,0,0,480,0,0,157,0,228,not VIP
154,0,0,0,581,0,0,938,0,76,not VIP
305,1,221,1,1198,0,0,86,0,72,not VIP
171,0,46,0,2647,3,0,11434,0,60,not VIP
1544,2,0,0,5362,4,0,4845,2,78,not VIP
18,0,0,0,36,0,0,202,0,163,not VIP
50,0,0,0,22,0,0,27,0,37,not VIP
128,0,70,0,293,0,0,391,0,13,not VIP
15,0,0,0,15,0,0,3,0,1,not VIP
222,0,0,0,370,0,0,31,0,65,not VIP
10,0,0,0,73,0,0,72,0,24,not VIP
108,0,0,0,1504,1,65,973,0,18,not VIP
172,0,0,0,172,0,0,3,0,12,not VIP
73,0,0,0,61,0,0,88,0,45,not VIP
20,0,0,0,114,0,0,1462,0,1,not VIP
67,0,0,0,111,0,0,41,0,28,not VIP
194,0,15,0,1841,1,0,749,0,57,not VIP
77,0,0,0,83,0,0,6,0,7,not VIP
46,0,0,0,68,0,0,165,0,16,not VIP
